变量,时间点,真实值,预测中位数,预测上界,预测下界
开盘价,0,3114.86,3107.2388,3160.4583,3059.2341
开盘价,1,3167.44,3104.8062,3171.4932,3043.4202
开盘价,2,3178.23,3105.988,3182.087,3027.6685
开盘价,3,3223.59,3102.1707,3189.6882,3017.0962
开盘价,4,3238.87,3101.9116,3200.5083,3005.5715
开盘价,5,3211.98,3100.6104,3207.238,2998.1174
开盘价,6,3223.08,3100.8435,3219.1208,2987.6157
开盘价,7,3265.88,3100.71,3227.8723,2980.1167
开盘价,8,3268.65,3100.6958,3234.5652,2973.521
开盘价,9,3356.29,3100.5696,3236.38,2970.89
开盘价,10,3242.99,3099.5686,3244.2844,2962.0586
开盘价,11,3257.05,3100.2798,3254.4646,2954.4617
开盘价,12,3265.11,3262.5718,3327.396,3193.1313
开盘价,13,3273.39,3266.9287,3347.2168,3182.052
开盘价,14,3257.08,3269.7883,3362.5894,3173.8079
开盘价,15,3186.0,3273.6748,3376.7944,3169.0027
开盘价,16,3191.57,3275.4592,3387.8894,3163.144
开盘价,17,3211.43,3278.4333,3394.704,3161.6296
开盘价,18,3268.69,3279.8513,3403.5889,3155.435
开盘价,19,3236.12,3283.515,3416.2197,3151.2048
开盘价,20,3222.03,3284.87,3424.761,3147.5955
开盘价,21,3189.05,3286.8252,3432.8813,3143.4924
开盘价,22,3228.53,3287.2087,3440.0728,3139.1472
开盘价,23,3256.56,3289.5093,3446.4766,3137.265
开盘价,24,3234.36,3255.3738,3309.9478,3195.5889
开盘价,25,3262.38,3251.9192,3318.3816,3181.5571
开盘价,26,3261.57,3248.678,3324.4644,3173.1926
开盘价,27,3298.17,3251.913,3330.4802,3171.661
开盘价,28,3256.52,3252.0234,3334.0498,3168.4167
开盘价,29,3254.27,3253.0833,3336.4998,3167.1602
开盘价,30,3237.26,3251.9854,3340.4163,3163.333
开盘价,31,3181.35,3253.4736,3344.1802,3162.479
开盘价,32,3217.59,3252.5393,3345.376,3158.7832
开盘价,33,3210.64,3250.333,3347.5876,3156.2698
开盘价,34,3228.49,3249.4778,3347.4873,3152.2869
开盘价,35,3212.64,3249.9478,3346.814,3151.9126
收盘价,0,3119.88,3099.9194,3149.9805,3054.3057
收盘价,1,3172.22,3097.826,3162.0488,3038.182
收盘价,2,3171.06,3098.5315,3172.369,3020.8962
收盘价,3,3210.84,3093.9697,3179.3257,3010.272
收盘价,4,3226.38,3092.7961,3188.0015,2996.8792
收盘价,5,3203.01,3091.0015,3193.6567,2988.97
收盘价,6,3218.51,3091.4624,3206.5051,2977.045
收盘价,7,3279.52,3090.2217,3215.1465,2968.3013
收盘价,8,3279.75,3090.1377,3222.2776,2961.2405
收盘价,9,3342.97,3090.4736,3224.482,2958.4697
收盘价,10,3239.54,3089.308,3233.8162,2948.7693
收盘价,11,3273.12,3090.056,3243.2883,2939.9905
收盘价,12,3278.17,3272.0266,3334.2185,3204.6292
收盘价,13,3268.05,3276.2336,3354.0527,3190.8682
收盘价,14,3273.28,3277.526,3369.8955,3180.9463
收盘价,15,3196.85,3280.4404,3383.684,3175.4563
收盘价,16,3190.02,3281.9563,3394.8657,3168.631
收盘价,17,3205.28,3285.125,3402.4644,3167.885
收盘价,18,3263.73,3286.4885,3411.7432,3161.2021
收盘价,19,3245.06,3289.5315,3424.0789,3155.7654
收盘价,20,3215.2,3290.8228,3432.6584,3152.3677
收盘价,21,3197.45,3292.7686,3440.7778,3148.0486
收盘价,22,3234.17,3293.5352,3448.8071,3143.3752
收盘价,23,3248.55,3295.5142,3454.9219,3141.478
收盘价,24,3229.52,3252.61,3305.5547,3194.3413
收盘价,25,3251.03,3250.4211,3316.4602,3180.3972
收盘价,26,3256.44,3247.9905,3323.8337,3171.8696
收盘价,27,3295.92,3250.916,3330.2227,3169.3882
收盘价,28,3269.8,3250.6812,3334.01,3165.8567
收盘价,29,3258.58,3251.643,3336.565,3164.0935
收盘价,30,3244.88,3250.599,3340.5637,3159.9543
收盘价,31,3189.51,3251.9158,3344.2905,3159.0703
收盘价,32,3202.44,3251.2,3345.751,3155.6086
收盘价,33,3214.08,3249.328,3348.3884,3153.2622
收盘价,34,3215.88,3248.6416,3348.6924,3149.2441
收盘价,35,3208.44,3249.134,3347.767,3148.669
